CVE_GEO,POBTOT,POBFEM,POBMAS,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,POB_AFRO,POB_AFRO_F,POB_AFRO_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,POCUPADA,PDESOCUP,PCATOLICA,VIVTOT,TVIVPARHAB,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_PC,VPH_INTER
0901300011116055,43,18,25,139,6,29,8,2,41,17,24,,*,*,41,17,24,0,0,0,*,0,*,11,10,11,30,12,18,9,30,0,40,12,12,12,0,12,12,0,12,4,4,9,6,10
0901300011116054,64,34,30,88,11,43,10,2,60,32,28,4,*,*,59,33,26,0,0,0,12,7,5,12,11,13,30,16,14,25,30,0,62,11,11,11,0,11,11,0,11,6,0,4,6,11
0901300011120050,16,11,5,45,4,11,,1,16,11,5,0,0,0,15,11,4,0,0,0,0,0,0,9,9,8,8,7,,6,8,0,16,6,6,6,0,6,6,0,6,,0,*,,
0901300011120049,44,23,21,91,14,28,,2,42,22,20,,*,*,40,21,19,0,0,0,0,0,0,9,9,8,26,11,15,11,25,*,27,7,7,7,0,7,7,0,7,0,,5,,3
090130001114A052,12,6,6,100,3,8,,3,9,4,5,3,*,*,10,4,6,0,0,0,0,0,0,7,7,7,6,,4,4,6,0,10,3,3,3,0,3,3,0,3,0,0,*,,
0901300011120035,109,50,59,118,13,85,11,2,101,45,56,8,5,3,96,42,54,7,4,3,0,0,0,12,11,12,71,28,43,29,70,*,80,25,25,25,0,25,25,0,25,7,4,15,18,18
0901300010245019,4,,,,,,,,,,,,*,*,,,,*,*,*,*,*,*,,,,,,,,,*,,3,,,*,,,,,,,*,,
0901300011120051,56,28,28,100,8,43,5,2,54,27,27,,*,*,51,27,24,0,0,0,0,0,0,12,12,12,31,16,15,17,30,*,41,14,13,13,0,13,13,0,13,3,0,7,7,9
0901300011120042,19,12,7,58,4,15,0,1,17,10,7,,*,0,17,11,6,0,0,0,0,0,0,13,14,11,11,9,,4,10,*,19,4,4,4,0,4,4,0,4,,,4,3,4
0901300011116056,29,17,12,71,5,16,8,2,28,16,12,,*,0,25,13,12,0,0,0,0,0,0,9,11,8,10,3,7,14,10,0,28,7,5,5,0,5,5,0,5,,,3,,3
0901300011120040,86,43,43,100,11,66,9,1,79,39,40,7,4,3,83,41,42,0,0,0,*,0,*,12,13,12,54,22,32,24,53,*,81,22,20,20,0,20,20,0,20,10,,9,11,17
0901300010245020,48,22,26,118,12,33,3,2,47,21,26,,*,0,47,22,25,0,0,0,0,0,0,12,12,12,28,16,12,9,28,0,40,11,10,10,0,10,10,0,10,4,0,5,8,9
